lvl,Column 1,Column 2,Column 3,Column 4
1,Clay,2013-01-01 00:00:00,6669,0
1,Clay,2013-01-02 00:00:00,5806,0
2,Clay,2013-01-03 00:00:00,9287,0
2,Clay,2013-01-06 00:00:00,9776,0
2,Clay,2013-01-07 00:00:00,9633,0
2,Clay,2013-01-08 00:00:00,8626,0
2,Clay,2013-01-09 00:00:00,7794,0
2,Clay,2013-01-10 00:00:00,7136,0
2,Clay,2013-01-13 00:00:00,6017,0
2,Clay,2013-01-14 00:00:00,5339,0
2,Clay,2013-01-15 00:00:00,5082,0
2,Clay,2013-01-16 00:00:00,4589,0
2,Clay,2013-01-17 00:00:00,4456,0
2,Clay,2013-01-20 00:00:00,2905,0
2,Clay,2013-01-21 00:00:00,2155,0
2,Clay,2013-01-22 00:00:00,1343,0
2,Clay,2013-01-23 00:00:00,367,0
2,Clay,2013-01-24 00:00:00,0,-630
2,Clay,2013-01-27 00:00:00,0,-503
2,Clay,2013-01-28 00:00:00,0,-997
2,Clay,2013-01-29 00:00:00,0,-10
2,Clay,2013-01-30 00:00:00,0,-781
2,Clay,2013-01-31 00:00:00,0,-534
2,Clay,2013-02-03 00:00:00,0,-349
2,Clay,2013-02-04 00:00:00,0,-329
2,Clay,2013-02-05 00:00:00,489,0
2,Clay,2013-02-06 00:00:00,195,0
2,Clay,2013-02-07 00:00:00,0,-452
2,Clay,2013-02-10 00:00:00,0,-359
2,Clay,2013-02-11 00:00:00,1849,0
2,Clay,2013-02-12 00:00:00,3358,0
2,Clay,2013-02-13 00:00:00,3225,0
2,Clay,2013-02-14 00:00:00,3061,0
2,Clay,2013-02-17 00:00:00,1757,0
2,Clay,2013-02-18 00:00:00,1110,0
2,Clay,2013-02-19 00:00:00,103,0
2,Clay,2013-02-20 00:00:00,0,-493
2,Clay,2013-02-21 00:00:00,0,-370
2,Clay,2013-02-24 00:00:00,0,-359
2,Clay,2013-02-25 00:00:00,0,-524
2,Clay,2013-02-26 00:00:00,0,-709
2,Clay,2013-02-27 00:00:00,0,-966
2,Clay,2013-02-28 00:00:00,0,-82
2,Clay,2013-03-03 00:00:00,3459,0
2,Clay,2013-03-04 00:00:00,6312,0
2,Clay,2013-03-05 00:00:00,5942,0
2,Clay,2013-03-06 00:00:00,5110,0
2,Clay,2013-03-07 00:00:00,4884,0
2,Clay,2013-03-10 00:00:00,3034,0
2,Clay,2013-03-11 00:00:00,2891,0
2,Clay,2013-03-12 00:00:00,2552,0
2,Clay,2013-03-13 00:00:00,2069,0
2,Clay,2013-03-14 00:00:00,6214,0
2,Clay,2013-03-17 00:00:00,8895,0
2,Clay,2013-03-18 00:00:00,8597,0
2,Clay,2013-03-19 00:00:00,8556,0
2,Clay,2013-03-20 00:00:00,8997,0
2,Clay,2013-03-21 00:00:00,9087,0
2,Clay,2013-03-24 00:00:00,7259,0
2,Clay,2013-03-25 00:00:00,6828,0
2,Clay,2013-03-26 00:00:00,8278,0
2,Clay,2013-03-27 00:00:00,8636,0
2,Clay,2013-03-28 00:00:00,7824,0
2,Clay,2013-03-31 00:00:00,6356,0
2,Clay,2013-04-01 00:00:00,5462,0
2,Clay,2013-04-02 00:00:00,4660,0
2,Clay,2013-04-03 00:00:00,3745,0
2,Clay,2013-04-04 00:00:00,2995,0
2,Clay,2013-04-07 00:00:00,1681,0
2,Clay,2013-04-08 00:00:00,1260,0
2,Clay,2013-04-09 00:00:00,859,0
2,Clay,2013-04-10 00:00:00,78,0
2,Clay,2013-04-11 00:00:00,0,-148
2,Clay,2013-04-14 00:00:00,0,-185
2,Clay,2013-04-15 00:00:00,0,-750
2,Clay,2013-04-16 00:00:00,961,0
2,Clay,2013-04-17 00:00:00,2023,0
2,Clay,2013-04-18 00:00:00,1252,0
2,Clay,2013-04-21 00:00:00,0,-73
2,Clay,2013-04-22 00:00:00,1908,0
2,Clay,2013-04-23 00:00:00,3795,0
2,Clay,2013-04-24 00:00:00,3333,0
2,Clay,2013-04-25 00:00:00,2840,0
2,Clay,2013-04-28 00:00:00,5986,0
2,Clay,2013-04-29 00:00:00,8687,0
2,Clay,2013-04-30 00:00:00,8616,0
2,Clay,2013-05-01 00:00:00,8390,0
2,Clay,2013-05-02 00:00:00,9230,0
2,Clay,2013-05-05 00:00:00,11749,0
2,Clay,2013-05-06 00:00:00,10968,0
2,Clay,2013-05-07 00:00:00,10927,0
2,Clay,2013-05-08 00:00:00,10629,0
2,Clay,2013-05-09 00:00:00,10259,0
2,Clay,2013-05-12 00:00:00,9160,0
2,Clay,2013-05-13 00:00:00,8595,0
2,Clay,2013-05-14 00:00:00,8534,0
2,Clay,2013-05-15 00:00:00,7794,0
2,Clay,2013-05-16 00:00:00,7774,0
2,Clay,2013-05-19 00:00:00,6932,0
2,Clay,2013-05-20 00:00:00,6665,0
2,Clay,2013-05-21 00:00:00,6275,0
2,Clay,2013-05-22 00:00:00,5607,0
2,Clay,2013-05-23 00:00:00,5165,0
2,Clay,2013-05-26 00:00:00,4035,0
2,Clay,2013-05-27 00:00:00,3305,0
2,Clay,2013-05-28 00:00:00,2853,0
2,Clay,2013-05-29 00:00:00,1969,0
2,Clay,2013-05-30 00:00:00,2357,0
2,Clay,2013-06-02 00:00:00,1971,0
2,Clay,2013-06-03 00:00:00,1570,0
2,Clay,2013-06-04 00:00:00,912,0
2,Clay,2013-06-05 00:00:00,2258,0
2,Clay,2013-06-06 00:00:00,4098,0
2,Clay,2013-06-09 00:00:00,3502,0
2,Clay,2013-06-10 00:00:00,2721,0
2,Clay,2013-06-11 00:00:00,5290,0
2,Clay,2013-06-12 00:00:00,7363,0
2,Clay,2013-06-13 00:00:00,6870,0
2,Clay,2013-06-16 00:00:00,5124,0
2,Clay,2013-06-17 00:00:00,4477,0
2,Clay,2013-06-18 00:00:00,4220,0
2,Clay,2013-06-19 00:00:00,3562,0
2,Clay,2013-06-20 00:00:00,2956,0
2,Clay,2013-06-23 00:00:00,1590,0
2,Clay,2013-06-24 00:00:00,1375,0
2,Clay,2013-06-25 00:00:00,1118,0
2,Clay,2013-06-26 00:00:00,203,0
2,Clay,2013-06-27 00:00:00,0,-527
2,Clay,2013-06-30 00:00:00,0,-370
2,Clay,2013-07-01 00:00:00,0,-380
2,Clay,2013-07-02 00:00:00,0,-915
2,Clay,2013-07-03 00:00:00,0,-987
2,Clay,2013-07-04 00:00:00,251,0
2,Clay,2013-07-07 00:00:00,4089,0
2,Clay,2013-07-08 00:00:00,3442,0
2,Clay,2013-07-09 00:00:00,2815,0
2,Clay,2013-07-10 00:00:00,7394,0
2,Clay,2013-07-11 00:00:00,11479,0
2,Clay,2013-07-14 00:00:00,10380,0
2,Clay,2013-07-15 00:00:00,10123,0
2,Clay,2013-07-16 00:00:00,10109,0
2,Clay,2013-07-17 00:00:00,10270,0
2,Clay,2013-07-18 00:00:00,9736,0
2,Clay,2013-07-21 00:00:00,8832,0
2,Clay,2013-07-22 00:00:00,9251,0
2,Clay,2013-07-23 00:00:00,8403,0
2,Clay,2013-07-24 00:00:00,8074,0
2,Clay,2013-07-25 00:00:00,7920,0
2,Clay,2013-07-28 00:00:00,6903,0
2,Clay,2013-07-29 00:00:00,6256,0
2,Clay,2013-07-30 00:00:00,6020,0
2,Clay,2013-07-31 00:00:00,5105,0
2,Clay,2013-08-01 00:00:00,4571,0
2,Clay,2013-08-04 00:00:00,3184,0
2,Clay,2013-08-05 00:00:00,2403,0
2,Clay,2013-08-06 00:00:00,1879,0
2,Clay,2013-08-07 00:00:00,923,0
2,Clay,2013-08-08 00:00:00,646,0
2,Clay,2013-08-11 00:00:00,0,-576
2,Clay,2013-08-12 00:00:00,0,-164
2,Clay,2013-08-13 00:00:00,0,-154
2,Clay,2013-08-14 00:00:00,0,-606
2,Clay,2013-08-15 00:00:00,0,-123
2,Clay,2013-08-18 00:00:00,0,-349
2,Clay,2013-08-19 00:00:00,4447,0
2,Clay,2013-08-20 00:00:00,7619,0
2,Clay,2013-08-21 00:00:00,6972,0
